Transaction ID,Transaction Providing Organization Name,Transaction Providing Organization Id,Transaction Providing Organization Type,Transaction Providing Organization Country,Transaction Receiving Organization Name,Transaction Receiving Organization Id,Transaction Receiving Organization Type,Transaction Receiving Organization Country,Transaction Date,Transaction USD Amount,Transaction Disbursement Channel,Transaction Type,Transaction Description,Transaction Finance Type,Transaction Data Source,Transaction Data Source Url,Transaction Cluster,Transaction District,Transaction External Id Owner,Transaction External Id,Project Id,Project Title,Project Description,Project Result Description,Project Status,Project Planned Start Date,Project Planned End Date,Project Actual Start Date,Project Actual End Date,Project Total Original USD Budget,Project Funding Organization ID,Project Funding Organization Name,Project Implementing Organization ID,Project Implementing Organization Name,Project General Enquires Contact Organization,Project General Enquires Contact Department,Project General Enquires Contact Person,Project General Enquires Contact Job Title,Project General Enquires Contact Telephone,Project General Enquires Contact Emails,Project General Enquires Contact Websites,Project Cluster,Project Districts,Project Document Title,Project Document Url,Project External ID Owner,Project External ID,Project Record Data Source Name,Project Record Data Source Url
22672,"Arjun Shrestha and Barsa Shrestha, Parwat",15982,Individual,Nepal,District Disaster Relief Commitee,15983,Government,Nepal,01/01/1970 00:00,1095,Cash,Commitment,The couple announced to donate their wedding expense to earthquake victims,Grant,Online Khabar,http://www.onlinekhabar.com/2015/05/274000/,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22675,Gagan Thapa,15987,Individual,Nepal,Daibik Propakar Udar kosh,15988,Individual,Not available,01/01/1970 00:00,6972,Cash,Commitment,"Gagan Thapa has decided to denote his one year salary to earthquack victims of ward no 7,Kathmandu",Grant,Online Khabar,http://www.onlinekhabar.com/2015/04/272008/,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22676,Hak Ja Han Moon,15989,Individual,Not available,FFWPU-Nepal,15990,Individual,Not available,01/01/1970 00:00,4926,Cash,Commitment,"Universal Peace Federation (UPF) and Family Federation for World Peace and Unification (FFWPU) International Co-founder Hak Ja Han Moon has donated US$ 1 million to Nepal to be used as relief for the victims of the April-25 earthquake.  According to a statement issued by Universal Peace Federation Nepal (UPF Nepal) on Sunday half the amount -- US$ 500,000 will be given to the Prime Minister's Disaster Relief Fund while the other half will go to FFWPU-Nepal.",Grant,Republica,http://www.myrepublica.com/economy/item/20780-hak-ja-han-moon-donates-1-million-for-quake-relief.html,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22679,Global IME Bank Pvt. Ltd.,15993,Private Sector,Nepal,Schools of 5 affected districts,15994,Individual,Not available,01/01/1970 00:00,98522,Inkind,Commitment,,Grant,Online Khabar,http://www.onlinekhabar.com/2015/05/273353/,Education,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22682,India (Government of),14822,Government,India,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,750000000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Loan,"Embassy of India, Kathmandu",  http://www.indianembassy.org.np/index2.php?option=Ui3vzctxn5xHZVIBeyayl4Esp_mDrgNifomf1lhLMr4&id=4dBldDECRxfnOg_0UVBpujo6Q8DbriJvDLFfhoD7RBE,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22683,China (Government of),14790,Government,China,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,483000000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Grant,Himalayan Times,http://thehimalayantimes.com/latest/foreign-delegates-pledge-support-to-nepal-reconstruction-at-icnr/,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22684,Japan (Government of),14831,Government,Japan,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,224000000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Loan,"Embassy of Japan, Kathmandu",http://www.np.emb-japan.go.jp/pdf/Support%20nepal_eng.pdf,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22685,Canada (Government of),14776,Government,Canada,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,60000000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Grant,Ekantipur,http://www.ekantipur.com/2015/06/25/top-story/over-3.5-bn-aid-pledged-during-donor-conference/407036.html,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22686,Australia (Government of),14755,Government,Australia,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,20237583,Cash,Pledge,"Pledged during the International Conference on Nepal's Reconstruction (INCR). Please note: Australia promised an additional AUD6m during the conference, thereby not including previously announce support in their ICNR pledge. In order to be consistent across all donors we report here the total of AUD28m (USD20,3m).",Grant,Minister for Foreign Affairs,http://foreignminister.gov.au/releases/Pages/2015/jb_mr_150625b.aspx,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22687,Austria (Government of),14764,Government,Austria,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,1200000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Grant,Ekantipur,http://www.ekantipur.com/2015/06/25/top-story/over-3.5-bn-aid-pledged-during-donor-conference/407036.html,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
